loanee_id,name,age,gender,amount_borrowed,date_borrowed,expected_repayment_date,date_repaid,amount_to_be_repaid,employment_status,income,credit_score,loan_purpose,loan_type,interest_rate,loan_term,address,city,state,zip_code,country,email,phone_number,marital_status,dependents,education_level,employer,job_title,years_employed
1,Patricia Gonzalez,65,Female,75495.88,2023-08-23,2025-03-28,"2025-03-2823 days, 0:00:00",87575.22,Self-employed,40119.67,722,Education,Unsecured,0.16,12,"481 Taylor Heights Apt. 893, West John, CO 17049",Guzmanland,AK,90922,USA,cgordon@example.com,(985)778-3957x295,Single,3,Doctorate,Baker-Harris,Chemical engineer,11
2,Amber Oneill,39,Female,73044.53,2023-05-14,2026-10-19,"2026-10-19-26 days, 0:00:00",86192.55,Unemployed,60874.54,517,Education,Unsecured,0.18,31,"876 Courtney Place Suite 796, Rebekahshire, AL 69357",Sheatown,ME,56897,USA,greenebrady@example.com,+1-826-626-2618x4868,Divorced,0,Doctorate,Gross-Davis,Consulting civil engineer,13
3,Angela Holland,59,Male,12629.86,2023-09-05,2027-11-13,"2027-11-1319 days, 0:00:00",14650.638,Self-employed,52254.47,675,Education,Secured,0.16,44,"03462 Kevin Roads, North Robert, WI 14678",Ashleymouth,PR,15221,USA,hgarcia@example.org,(388)507-5059x9975,Divorced,4,Master,Richardson-Wilson,Tourist information centre manager,6
4,Megan Montgomery,46,Male,8630.79,2023-12-07,2028-12-07,"2028-12-072 days, 0:00:00",9925.408,Self-employed,52086.46,577,Education,Secured,0.15,57,"267 Sharon Branch Apt. 249, North Rebecca, VT 70490",Port Edward,MD,65989,USA,smithkelly@example.org,001-886-740-5778,Divorced,4,Master,"Boyer, Evans and Hawkins","Engineer, biomedical",16
5,Robert Kim,41,Female,55532.45,2023-09-09,2026-09-19,,62196.344,Unemployed,38891.43,526,Business,Secured,0.12,30,"1906 Gutierrez Grove, Sharonmouth, VA 15718",Reedfurt,FL,02480,USA,melissa25@example.org,+1-437-534-7806x2645,Widowed,1,Doctorate,"Sims, Hicks and Flores","Surveyor, building control",15
6,Tammy Murray,56,Female,90577.23,2023-09-06,2027-07-16,,100540.73,Unemployed,60864.04,580,Personal,Secured,0.11,40,"81040 Andrew Lodge Apt. 099, West Catherineton, FL 24768",Lake Christopher,WI,16794,USA,rodneycarr@example.net,559.286.1874,Widowed,1,Master,Pittman PLC,Homeopath,8
7,Jared Marks,22,Female,13187.02,2023-12-22,2025-03-28,"2025-03-28-30 days, 0:00:00",14505.722,Employed,28775.76,618,Home,Secured,0.1,12,"41607 Thompson Divide, Rhodesport, AL 50133",Hollandstad,MI,14413,USA,greershane@example.net,5545097684,Single,2,High School,Roy-Barrera,Chief Marketing Officer,12
8,Jason Thomas,59,Female,47480.29,2023-08-17,2027-04-17,"2027-04-1723 days, 0:00:00",54602.332,Employed,35624.07,580,Home,Secured,0.15,37,"71671 Amanda Fall, Jamesborough, WY 53968",Jenkinsshire,NY,35008,USA,moorejames@example.org,+1-408-230-5052x778,Widowed,0,Bachelor,"Thomas, Bradshaw and Perkins",Database administrator,5
9,Susan Marshall,33,Male,58597.41,2023-07-19,2025-04-27,,65629.1,Unemployed,49273.1,723,Education,Unsecured,0.12,13,"Unit 0566 Box 3658, DPO AE 81436",South Lanceton,AL,68791,USA,christina68@example.org,+1-344-390-7583x1211,Married,2,High School,Frazier Group,"Librarian, public",11
10,Paul Bernard,49,Female,84465.98,2023-07-18,2027-10-14,,97135.875,Employed,46573.85,572,Home,Unsecured,0.15,43,"1917 Danielle Valley Suite 425, Tracieshire, VI 77466",West Mary,TX,77449,USA,novakjames@example.org,220.326.8612x6502,Widowed,3,Bachelor,Miller-Thompson,Hydrologist,8
